Pair ID,Class 1,Term 1,Similarity,Class 2,Term 2,Term 1 Expand,Term 2 Expand
0009856-0069670,44,human hygiene and beauty care,Identical,44,beauty care services provided by a health spa,"Personal care services for maintaining cleanliness, health, and aesthetic appearance for human beings",Beauty care services offered by a health spa
0057040-0078182,35,compilation of information into computer databases,Identical,35,administrative support and data processing services,"Administrative services, namely, compilation of information into computer databases",Administrative support and data processing services for businesses
0058392-0059527,3,abrasive paper,Identical,3,abrasives,"Abrasive paper for cleaning, polishing, scouring, and other abrasive preparations","Chemical or mineral preparations, namely, abrasives for grinding, polishing and cleaning"
0037142-0043600,8,cutlery,Dissimilar,8,shear blades,Hand-operated cutlery for eating,Cutting blades for hand-operated shears
0024724-0047746,9,"relays, electric",Identical,9,apparatus and instruments for controlling electricity,Electric relays for switching electrical circuits,Electrical apparatus and instruments for controlling electricity
0006775-0040449,29,fruit peel,Dissimilar,32,non-alcoholic preparations for making beverages,Prepared and preserved fruit peel for culinary consumption,Non-alcoholic concentrates for beverage preparation
0031894-0047760,9,protection devices for personal use against accidents,Identical,9,protective and safety equipment,Personal protective equipment for accident prevention,Apparatus and equipment for protective and safety purposes
0072418-0019801,29,compotes,Dissimilar,30,cheeseburgers [sandwiches],"Sweetened fruit preparations, namely, compotes","Prepared sandwiches, namely, cheeseburgers"
0047908-0058962,22,"bags and sacks for packaging, storage and transport",Dissimilar,25,headgear,"Bags and sacks, not of paper, cardboard, rubber or plastics, for packaging, storage, and transport of materials in bulk.",Articles of clothing for wearing on the head
0017422-0031322,11,lamps,Identical,11,electric chinese lanterns,Lighting apparatus,Electric lighting lanterns in the style of Chinese lanterns
0011408-0038568,42,computer programming,Dissimilar,35,business management of hotels,"Professional technological services, namely, computer programming for the design and development of software",Professional business management services for hotels
0047736-0047797,9,"measuring, detecting and monitoring instruments, indicators and controllers",Dissimilar,11,personal heating and drying implements,"Physical apparatus and instruments for measuring, detecting, monitoring, indicating, and controlling",Electric implements and apparatus for personal heating and drying
0009856-0010379,44,human hygiene and beauty care,Identical,44,depilatory treatment,"Personal care services for maintaining cleanliness, health, and aesthetic appearance for human beings",Depilatory beauty treatment services
0016088-0028966,9,optical apparatus and instruments,Identical,9,nautical apparatus and instruments,Scientific optical apparatus and instruments,"Apparatus and instruments for nautical navigation, measurement, and communication"
0012583-0048124,29,jellies for food,High similar,29,cooked fruits,Edible fruit jellies for food,Edible cooked fruits for human consumption
0029354-0040096,2,raw natural resins,Dissimilar,2,thinners for paints,Unprocessed natural resins for industrial purposes,Chemical thinners for paints
0016148-0016150,33,wine,Dissimilar,33,alcoholic energy drinks,Wine [alcoholic beverage],Alcoholic energy drinks
0006513-0039986,26,needles,Dissimilar,26,pin cushions,Needle-like fibrous materials or decorative elements for floor and wall coverings,"Haberdashery items, namely, pin cushions"
GSCSup-0046236-0057502,14,chronographs,Identical,14,chronographs [watches],Chronographs [watches with stopwatch function],Horological instrument in the nature of a watch for indicating time and measuring elapsed time intervals
0022248-0012658,30,rice,Dissimilar,31,"vegetables, fresh","Cereal grain, namely, rice",Raw and unprocessed fresh vegetables
0025734-0027704,12,vehicles,Similar,12,"connecting rods for land vehicles, other than parts of motors and engines","Apparatus for locomotion by land, air, or water, for conveying people or goods","Mechanical linkage rods for land vehicles, other than parts of motors and engines"
0047995-0048031,37,"building, construction and demolition",Dissimilar,42,"testing, authentication and quality control","Building, construction, and demolition services for physical structures and infrastructure.","Scientific and technological services for testing, authentication, and quality control"
0030502-0065110,3,cosmetics,Identical,3,scented body lotions and creams,Non-medicated cosmetics for beauty and personal care,Non-medicated cosmetic scented body lotions and creams
0058962-0045360,25,headgear,Identical,25,balaclavas,Articles of clothing for wearing on the head,"Close-fitting headwear, namely balaclavas"
0030502-0071823,3,cosmetics,Identical,3,alum stones [astringents],Non-medicated cosmetics for beauty and personal care,Non-medicated alum stones for cosmetic astringent purposes
0043075-0007027,3,detergents,Dissimilar,1,decolorants for industrial purposes,"Chemical cleaning preparations, namely detergents",Chemical preparation for industrial decolorizing
0046364-0042126,25,clothing,Identical,25,cycling tops,Garments and articles of dress for covering the human body,Tops for cycling
0059490-0057794,43,services for providing food and drink,Low similar,30,edible ices,"Hospitality services, namely, services for providing food and drink","Frozen confectionery food products, namely, edible ices"
0057012-0015840,35,business research,Identical,35,business analysis,Conducting business research services,Professional business analysis and consultancy services
0019598-0048103,9,theodolites,Identical,9,measuring apparatus and instruments,"Optical surveying instruments, namely, theodolites",Scientific and technical apparatus and instruments for measuring
GSCSup-0091381-GSCSup-0092296,37,home construction services,Identical,37,civil works and site preparation,Construction services for residential homes,Civil engineering works and site preparation services
0058436-0078171,9,exposure meters [light meters],Identical,9,measuring devices,Exposure meters (light meters) for photographic purposes,Scientific and technical measuring instruments and apparatus
0010048-0021463,20,slatted bases for beds,Dissimilar,20,caskets made of ivory,Slatted bases for supporting bed mattresses,Decorative caskets [small boxes] made of ivory
0030502-0027661,3,cosmetics,Identical,3,non-medicated toiletries,Non-medicated cosmetics for beauty and personal care,General non-medicated toiletry preparations for personal hygiene and grooming
0029914-0002024,29,oils for food,Dissimilar,30,spring rolls,Edible oils for food preparation and consumption,"Prepared food items, namely spring rolls"
0012514-0032207,39,transport,Identical,39,railway truck rental,Transportation services,Rental services for railway freight wagons
0047782-0047917,11,flues and installations for conveying exhaust gases,Dissimilar,21,brushes and brush-making articles,"Installations and apparatus for conveying exhaust gases, including flues",Brushes for household and personal use (excluding paintbrushes) and materials for making brushes
0057734-0044469,3,furbishing preparations,Similar,21,sponges,Chemical preparations for furbishing surfaces,Sponges for household cleaning and personal care
0025293-0035881,12,brake linings for vehicles,Dissimilar,12,apparatus for locomotion by water,Friction-generating brake linings for vehicle braking systems,Vehicles and apparatus for locomotion by water
0047314-0059093,7,vending machines,Dissimilar,7,"door openers, pneumatic","Automatic machines for dispensing products, namely, vending machines",Pneumatically-powered machines for automatically opening doors
0002359-0006013,41,sporting activities,Dissimilar,41,"publication of texts, other than publicity texts",Services for organizing and conducting sporting activities and events,Publication services for non-publicity texts
0036090-0058115,5,blood for medical purposes,Dissimilar,5,"plasters, materials for dressings","Biological preparation, namely, blood, for medical and diagnostic purposes",Medical plasters and materials for wound dressings
