Original_Term,Nature,Purpose,Expanded_Name,Logic_Trace
Computerised financial services,Financial services utilizing computer technology,"Providing financial, monetary, and banking services through electronic and digital platforms","Financial, monetary, and banking services provided via computer networks","The class description 'Financial, monetary and banking services' aligns with 'financial services delivered via computer systems'. Meanings related to software or hardware refer to products, not the service."
Credit card and debit card services,Financial transaction processing and card issuance services,"Facilitating financial transactions, managing credit lines, and providing debit functionalities for consumers and businesses",Issuance and processing services for credit and debit card transactions,"The class description 'Financial, monetary and banking services' covers the issuing, management, and processing of credit/debit cards. The physical cards themselves are products, not services."
Provision of financial services by means of a global computer network or the internet,Electronic financial service provision,"Delivering financial, monetary, and banking services remotely via the internet or global computer networks","Delivery of financial, monetary, and banking services through global computer networks or the internet","The class description 'Financial, monetary and banking services' directly corresponds to 'offering financial services online'. Developing websites or marketing are distinct services."
Risk management consultancy [financial],Financial advisory and consultancy services,"Advising and guiding clients on identifying, assessing, and mitigating financial risks",Financial advisory and consultancy services for risk management,"The class description 'Financial, monetary and banking services' aligns with 'advisory services for financial risk'. Software and training are distinct products or educational services."
Credit services,Financial lending services,"Providing loans, lines of credit, and other forms of financial credit to individuals and businesses",Financial lending services providing credit facilities,"The class description 'Financial, monetary and banking services' directly covers the 'provision of loans or lines of credit'. Credit reporting and debt collection are related but distinct financial services."
Preparation of financial reports,Financial accounting and reporting services,"Compiling, analyzing, and presenting financial data in structured reports for individuals or entities",Financial accounting services for the preparation of financial reports,"The class description 'Financial, monetary and banking services' includes the intellectual service of 'compiling and presenting financial data'. Software and printing are distinct products or services."
Financial planning services,Financial advisory services,Developing strategies and providing advice for individuals and businesses to achieve their financial objectives,Financial advisory services for planning and managing financial assets,"The class description 'Financial, monetary and banking services' matches 'advisory services for personal and business financial goals'. Software and books are products."
Currency exchange and advice,Foreign exchange and advisory services,Facilitating the conversion of currencies and providing expert guidance on foreign exchange matters,Foreign currency exchange and advisory services,"The class description 'Financial, monetary and banking services' explicitly covers both the transaction of 'converting one currency to another' and 'advising on foreign exchange markets'. ATMs are machines, not services."
Management services for loan related transactions,Financial administration services,"Overseeing and coordinating all aspects of loan application, approval, disbursement, and repayment processes",Financial administration services for managing loan-related transactions,"The class description 'Financial, monetary and banking services' covers the 'administering and overseeing loan processes'. Software is a product, and legal services are in Class 45."
Financial trust management,Financial asset management services,Administering and managing financial assets held within a trust for the benefit of designated beneficiaries,Financial asset management services for trusts,"The class description 'Financial, monetary and banking services' includes the 'administering financial trusts on behalf of beneficiaries'. Legal services are in Class 45, and software is a product."
